Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,316.070007,322.839996,314.269989,321.040009,321.040009,1191600
2018-10-17,320.959991,321.510010,315.000000,319.829987,319.829987,1115400
2018-10-18,320.100006,320.459991,314.040009,318.100006,318.100006,1732300
2018-10-19,319.100006,324.559998,316.470001,321.339996,321.339996,1110200
2018-10-22,322.769989,325.000000,318.260010,319.609985,319.609985,885000
2018-10-23,315.670013,319.799988,311.989990,317.890015,317.890015,1070600
2018-10-24,318.119995,321.690002,305.179993,306.049988,306.049988,1331900
2018-10-25,312.230011,318.250000,305.429993,314.809998,314.809998,1820400
2018-10-26,297.000000,302.549988,284.350006,295.010010,295.010010,4569700
2018-10-29,299.130005,310.380005,296.049988,300.850006,300.850006,1933300
2018-10-30,302.359985,316.940002,301.850006,316.220001,316.220001,1524500
2018-10-31,318.359985,325.869995,317.239990,320.369995,320.369995,1973500
2018-11-01,319.779999,330.450012,317.000000,324.579987,324.579987,1440900
2018-11-02,325.929993,329.570007,309.519989,317.869995,317.869995,1374900
2018-11-05,319.480011,325.970001,318.339996,323.350006,323.350006,787100
2018-11-06,325.290009,326.980011,317.809998,320.670013,320.670013,835700
2018-11-07,324.559998,329.869995,322.570007,328.359985,328.359985,886500
2018-11-08,326.190002,329.910004,322.320007,324.649994,324.649994,1075300
2018-11-09,322.989990,327.679993,316.630005,321.109985,321.109985,756800
2018-11-12,320.359985,326.329987,319.760010,323.350006,323.350006,866500
2018-11-13,323.480011,330.970001,323.480011,324.559998,324.559998,835300
2018-11-14,326.320007,329.049988,320.190002,320.799988,320.799988,948900
2018-11-15,319.269989,321.040009,309.959991,318.480011,318.480011,1178600
2018-11-16,317.279999,330.570007,317.140015,328.540009,328.540009,1225500
2018-11-19,329.459991,331.170013,321.570007,323.600006,323.600006,1488100
2018-11-20,319.989990,322.130005,303.649994,305.010010,305.010010,2836200
2018-11-21,305.350006,311.420013,304.779999,305.540009,305.540009,1096500
2018-11-23,302.929993,311.700012,302.459991,309.429993,309.429993,671400
2018-11-26,313.540009,314.130005,308.779999,313.230011,313.230011,1240000
2018-11-27,312.279999,320.170013,311.510010,317.640015,317.640015,690600
2018-11-28,317.769989,329.089996,316.000000,328.679993,328.679993,1239500
2018-11-29,325.540009,334.760010,325.540009,330.329987,330.329987,1084700
2018-11-30,331.279999,333.239990,324.950012,329.200012,329.200012,1784500
2018-12-03,331.709991,334.309998,323.529999,326.700012,326.700012,1159400
2018-12-04,326.959991,330.859985,318.329987,321.839996,321.839996,1391800
2018-12-06,318.579987,326.970001,313.829987,326.779999,326.779999,1311900
2018-12-07,323.910004,326.940002,312.329987,315.700012,315.700012,1164400
2018-12-10,316.339996,316.910004,308.839996,315.640015,315.640015,1002000
2018-12-11,319.570007,321.019989,310.070007,312.540009,312.540009,947400
2018-12-12,317.700012,323.679993,315.829987,316.779999,316.779999,958500
2018-12-13,318.640015,321.179993,308.250000,311.480011,311.480011,1063100
2018-12-14,308.549988,313.899994,307.510010,309.420013,309.420013,959300
2018-12-17,310.000000,311.959991,307.119995,309.279999,309.279999,1829100
2018-12-18,311.869995,313.410004,302.619995,305.929993,305.929993,1911800
2018-12-19,305.309998,311.029999,296.730011,297.600006,297.600006,1937200
2018-12-20,296.380005,298.920013,289.709991,290.450012,290.450012,2488200
2018-12-21,287.980011,296.440002,282.730011,283.929993,283.929993,3593100
2018-12-24,283.690002,284.980011,273.309998,273.519989,273.519989,1009000
2018-12-26,275.339996,285.850006,272.910004,285.700012,285.700012,1359800
2018-12-27,281.779999,284.750000,274.079987,284.730011,284.730011,1242500
2018-12-28,287.700012,290.519989,274.709991,285.079987,285.079987,1035400
2018-12-31,286.730011,287.940002,280.750000,284.970001,284.970001,1075300
2019-01-02,279.890015,289.519989,279.109985,287.989990,287.989990,1296300
2019-01-03,284.619995,294.000000,284.619995,287.500000,287.500000,1176300
2019-01-04,291.109985,305.119995,288.619995,302.739990,302.739990,2336600
2019-01-07,301.130005,304.109985,299.260010,301.470001,301.470001,1308400
2019-01-08,300.399994,305.720001,300.119995,300.709991,300.709991,1051100
2019-01-09,301.929993,301.940002,295.500000,297.640015,297.640015,1241400
2019-01-10,295.470001,297.100006,291.010010,292.670013,292.670013,1701100
2019-01-11,291.019989,295.029999,290.829987,294.540009,294.540009,906800
2019-01-14,292.989990,298.200012,290.760010,291.559998,291.559998,1219500
2019-01-15,291.670013,294.119995,290.500000,294.000000,294.000000,1152400
2019-01-16,293.190002,295.829987,290.940002,293.809998,293.809998,1005300
2019-01-17,292.320007,295.600006,290.760010,294.410004,294.410004,841400
2019-01-18,297.239990,297.239990,289.570007,291.399994,291.399994,1617600
2019-01-22,288.660004,290.920013,283.019989,284.970001,284.970001,2404100
2019-01-23,287.359985,291.350006,279.329987,284.529999,284.529999,1593500
2019-01-24,281.070007,288.000000,281.070007,287.579987,287.579987,1439400
2019-01-25,290.000000,291.609985,286.799988,291.410004,291.410004,1323200
2019-01-28,289.380005,291.730011,287.309998,290.859985,290.859985,1136600
2019-01-29,290.700012,292.970001,287.579987,289.779999,289.779999,782200
2019-01-30,289.570007,293.100006,288.000000,289.910004,289.910004,1725800
2019-01-31,320.010010,338.309998,319.299988,331.049988,331.049988,5176000
2019-02-01,331.869995,343.140015,330.920013,340.950012,340.950012,1998500
2019-02-04,338.649994,343.899994,336.390015,337.000000,337.000000,1224800
2019-02-05,337.709991,341.000000,332.769989,340.700012,340.700012,1498500
2019-02-06,340.000000,343.790009,338.910004,343.510010,343.510010,1217000
2019-02-07,340.179993,344.649994,337.720001,344.510010,344.510010,1190900
2019-02-08,341.359985,344.640015,338.869995,344.160004,344.160004,809300
2019-02-11,343.320007,344.720001,335.709991,337.820007,337.820007,1251600
2019-02-12,341.040009,342.000000,339.109985,340.399994,340.399994,977800
2019-02-13,340.600006,343.320007,336.380005,338.489990,338.489990,1124200
2019-02-14,336.359985,343.269989,335.220001,341.600006,341.600006,863300
2019-02-15,344.690002,349.769989,341.920013,349.059998,349.059998,1132000
2019-02-19,347.670013,350.779999,347.010010,348.429993,348.429993,1231300
2019-02-20,349.299988,351.390015,347.859985,349.760010,349.760010,2112300
2019-02-21,348.279999,350.279999,343.850006,349.540009,349.540009,933700
2019-02-22,350.920013,353.500000,348.760010,350.079987,350.079987,1261600
2019-02-25,352.339996,353.750000,347.880005,348.899994,348.899994,1094400
2019-02-26,348.829987,348.829987,345.559998,346.320007,346.320007,1118100
2019-02-27,344.589996,345.850006,342.910004,345.029999,345.029999,1354700
2019-02-28,345.160004,347.429993,344.309998,344.910004,344.910004,1035000
2019-03-01,347.519989,347.519989,344.959991,346.579987,346.579987,1219000
2019-03-04,348.880005,349.839996,343.549988,346.100006,346.100006,1386700
2019-03-05,345.220001,346.989990,337.040009,343.750000,343.750000,1000900
2019-03-06,344.779999,344.779999,339.750000,340.559998,340.559998,990100
2019-03-07,339.809998,341.670013,337.010010,340.029999,340.029999,842600
2019-03-08,337.399994,339.779999,335.529999,337.540009,337.540009,701500
2019-03-11,337.690002,341.880005,336.040009,341.079987,341.079987,1401900
2019-03-12,342.399994,342.660004,339.700012,342.510010,342.510010,1572400
2019-03-13,343.989990,350.059998,342.519989,348.130005,348.130005,1916400
2019-03-14,348.970001,354.470001,346.220001,352.709991,352.709991,1131300
2019-03-15,352.359985,356.899994,350.850006,355.920013,355.920013,2486500
2019-03-18,356.519989,359.720001,355.470001,357.350006,357.350006,1086100
2019-03-19,359.480011,363.250000,357.549988,360.450012,360.450012,1205500
2019-03-20,360.579987,365.640015,358.690002,362.440002,362.440002,1194700
2019-03-21,361.799988,368.019989,360.850006,366.269989,366.269989,1100000
2019-03-22,365.700012,366.489990,360.380005,360.779999,360.779999,5241900
2019-03-25,360.750000,362.510010,355.769989,356.839996,356.839996,1365600
2019-03-26,356.799988,358.720001,354.589996,356.029999,356.029999,1150200
2019-03-27,356.390015,360.260010,354.769989,355.510010,355.510010,1372200
2019-03-28,356.170013,358.609985,352.220001,352.869995,352.869995,834200
2019-03-29,352.119995,354.600006,345.670013,346.910004,346.910004,1410800
2019-04-01,349.809998,350.600006,343.700012,346.220001,346.220001,1153100
2019-04-02,346.750000,347.510010,344.359985,346.630005,346.630005,1233100
2019-04-03,348.660004,349.100006,343.149994,345.369995,345.369995,1195900
2019-04-04,346.250000,347.000000,343.950012,345.720001,345.720001,1214700
2019-04-05,345.790009,352.200012,344.989990,351.440002,351.440002,1247200
2019-04-08,350.529999,355.119995,350.529999,354.140015,354.140015,830900
2019-04-09,351.890015,355.559998,350.540009,354.559998,354.559998,808800
2019-04-10,353.480011,355.470001,353.040009,354.350006,354.350006,574000
2019-04-11,356.350006,356.589996,353.250000,355.250000,355.250000,689100
2019-04-12,355.890015,356.950012,354.000000,356.049988,356.049988,734000
2019-04-15,356.589996,358.380005,355.519989,357.339996,357.339996,749600
2019-04-16,359.010010,359.670013,356.970001,358.049988,358.049988,472400
2019-04-17,360.000000,362.250000,358.510010,361.690002,361.690002,842100
2019-04-18,367.200012,367.200012,356.790009,359.369995,359.369995,640800
2019-04-22,358.540009,359.910004,356.459991,358.049988,358.049988,610300
2019-04-23,356.500000,361.320007,355.329987,358.630005,358.630005,762400
2019-04-24,358.040009,361.989990,355.279999,360.500000,360.500000,817100
2019-04-25,357.910004,368.779999,357.320007,366.760010,366.760010,1190900
2019-04-26,368.190002,370.329987,364.690002,370.149994,370.149994,782400
2019-04-29,370.000000,371.630005,368.579987,370.970001,370.970001,924500
2019-04-30,371.440002,375.000000,368.369995,371.190002,371.190002,1322600
2019-05-01,373.130005,378.359985,370.720001,371.040009,371.040009,1079100
2019-05-02,370.970001,371.630005,365.899994,370.410004,370.410004,678200
2019-05-03,372.119995,377.929993,369.609985,377.679993,377.679993,917100
2019-05-06,372.670013,376.970001,372.579987,376.279999,376.279999,1059900
2019-05-07,372.309998,375.309998,368.200012,374.739990,374.739990,896700
2019-05-08,374.640015,375.510010,370.140015,372.320007,372.320007,787700
2019-05-09,369.459991,375.320007,368.329987,374.329987,374.329987,733600
2019-05-10,372.369995,378.299988,369.799988,377.890015,377.890015,594000
2019-05-13,372.309998,375.540009,367.350006,368.890015,368.890015,1094700
2019-05-14,369.380005,376.660004,368.779999,373.149994,373.149994,846500
2019-05-15,370.380005,378.339996,368.920013,377.190002,377.190002,935200
2019-05-16,378.190002,384.000000,378.190002,382.190002,382.190002,981800
2019-05-17,381.829987,387.410004,381.829987,386.410004,386.410004,882500
2019-05-20,378.429993,380.000000,375.260010,377.290009,377.290009,1140000
2019-05-21,379.390015,381.980011,376.459991,379.209991,379.209991,889400
2019-05-22,378.209991,380.510010,376.820007,378.079987,378.079987,665400
2019-05-23,375.429993,377.459991,374.000000,375.510010,375.510010,867000
2019-05-24,376.739990,379.140015,374.890015,375.000000,375.000000,597200
2019-05-28,377.200012,379.920013,375.079987,377.000000,377.000000,1748800
2019-05-29,375.980011,376.609985,372.230011,375.369995,375.369995,1326600
2019-05-30,377.690002,379.929993,375.739990,379.220001,379.220001,995700
2019-05-31,376.160004,380.000000,373.040009,376.799988,376.799988,1552000
2019-06-03,376.339996,379.549988,375.239990,377.649994,377.649994,1315400
2019-06-04,380.940002,392.140015,378.510010,387.670013,387.670013,1748100
2019-06-05,389.059998,389.290009,382.410004,384.959991,384.959991,1573000
2019-06-06,384.619995,388.529999,384.010010,387.309998,387.309998,479900
2019-06-07,389.000000,395.299988,387.579987,394.040009,394.040009,1310800
2019-06-10,395.890015,396.890015,392.989990,395.410004,395.410004,890600
2019-06-11,397.679993,397.679993,388.630005,391.640015,391.640015,918500
2019-06-12,391.429993,394.500000,389.940002,391.160004,391.160004,1188000
2019-06-13,392.910004,392.910004,387.899994,389.720001,389.720001,657400
2019-06-14,390.320007,393.209991,386.660004,392.079987,392.079987,730500
2019-06-17,393.739990,397.179993,391.299988,394.070007,394.070007,623100
2019-06-18,397.519989,400.000000,394.670013,395.209991,395.209991,1011800
2019-06-19,395.630005,398.170013,394.359985,397.750000,397.750000,572600
2019-06-20,400.480011,401.380005,395.880005,398.769989,398.769989,792100
2019-06-21,400.000000,400.000000,390.670013,394.690002,394.690002,1402200
2019-06-24,396.010010,396.010010,391.010010,392.440002,392.440002,801700
2019-06-25,391.179993,392.470001,385.750000,390.910004,390.910004,1121800
2019-06-26,391.489990,392.510010,385.239990,388.239990,388.239990,949700
2019-06-27,389.750000,393.630005,387.170013,391.410004,391.410004,552900
2019-06-28,391.459991,398.000000,390.380005,395.179993,395.179993,1454500
2019-07-01,400.000000,400.000000,396.019989,397.739990,397.739990,743000
2019-07-02,398.839996,399.809998,395.299988,398.690002,398.690002,673100
2019-07-03,399.579987,401.970001,397.679993,400.000000,400.000000,406400
2019-07-05,397.369995,402.619995,397.369995,401.679993,401.679993,648100
2019-07-08,399.869995,402.470001,398.100006,399.399994,399.399994,472000
2019-07-09,397.920013,402.670013,396.690002,401.220001,401.220001,472600
2019-07-10,404.339996,408.260010,402.700012,407.209991,407.209991,1335800
2019-07-11,408.149994,411.700012,406.989990,410.250000,410.250000,1193600
2019-07-12,411.500000,415.140015,409.019989,414.309998,414.309998,1229800
2019-07-15,415.730011,415.730011,411.679993,414.630005,414.630005,1142800
2019-07-16,414.790009,417.029999,412.779999,414.839996,414.839996,637900
2019-07-17,416.589996,416.950012,412.549988,414.559998,414.559998,460000
2019-07-18,410.119995,416.049988,409.140015,415.619995,415.619995,696800
2019-07-19,417.130005,417.130005,409.380005,409.790009,409.790009,820500
2019-07-22,411.000000,411.720001,405.760010,407.859985,407.859985,666400
2019-07-23,408.970001,409.600006,403.929993,407.529999,407.529999,764000
2019-07-24,407.450012,410.980011,404.820007,409.670013,409.670013,634600
2019-07-25,407.220001,410.320007,404.579987,405.500000,405.500000,1233500
2019-07-26,380.000000,399.130005,375.059998,398.790009,398.790009,1608400
2019-07-29,398.779999,402.890015,390.779999,393.649994,393.649994,738000
2019-07-30,391.670013,398.619995,391.220001,394.559998,394.559998,916400
2019-07-31,390.980011,390.989990,382.000000,385.380005,385.380005,2197100
2019-08-01,385.940002,392.850006,383.980011,384.380005,384.380005,1389600
2019-08-02,383.119995,385.750000,379.750000,384.660004,384.660004,1382400
2019-08-05,380.070007,382.799988,376.149994,379.739990,379.739990,1796300
2019-08-06,379.769989,384.790009,377.480011,381.989990,381.989990,1168600
2019-08-07,376.399994,377.390015,371.299988,375.029999,375.029999,2552400
2019-08-08,378.190002,382.369995,370.779999,380.029999,380.029999,2052200
2019-08-09,380.510010,382.070007,376.600006,379.570007,379.570007,1207300
2019-08-12,378.799988,379.790009,372.899994,376.279999,376.279999,1412600
2019-08-13,376.230011,384.079987,374.079987,379.369995,379.369995,1745400
2019-08-14,375.859985,377.880005,372.579987,375.179993,375.179993,1442200
2019-08-15,376.190002,381.899994,375.440002,380.940002,380.940002,1320200
2019-08-16,385.329987,386.390015,381.940002,384.510010,384.510010,1188100
2019-08-19,388.179993,391.559998,387.049988,388.420013,388.420013,1219900
2019-08-20,386.950012,394.200012,386.769989,391.549988,391.549988,1098200
2019-08-21,393.299988,393.940002,389.519989,392.130005,392.130005,973300
2019-08-22,392.679993,393.130005,387.429993,391.040009,391.040009,891900
2019-08-23,388.839996,395.369995,384.429993,385.510010,385.510010,1333600
2019-08-26,387.850006,399.070007,387.130005,396.779999,396.779999,1460500
2019-08-27,397.429993,401.399994,395.040009,398.489990,398.489990,1014000
2019-08-28,398.649994,403.500000,395.670013,400.500000,400.500000,806400
2019-08-29,404.619995,410.089996,403.070007,407.239990,407.239990,892000
2019-08-30,409.119995,412.500000,407.429993,409.589996,409.589996,1140400
2019-09-03,408.079987,413.160004,407.260010,411.809998,411.809998,977800
2019-09-04,415.380005,420.260010,415.220001,419.470001,419.470001,1492900
2019-09-05,424.750000,428.950012,420.309998,422.049988,422.049988,1113400
2019-09-06,423.119995,427.899994,421.019989,425.720001,425.720001,973800
2019-09-09,425.989990,427.109985,417.660004,419.779999,419.779999,1192900
2019-09-10,418.970001,423.920013,415.970001,421.339996,421.339996,1367700
2019-09-11,420.179993,425.790009,420.179993,425.000000,425.000000,751400
2019-09-12,427.670013,431.429993,423.549988,425.000000,425.000000,1233700
2019-09-13,425.059998,426.649994,421.910004,425.519989,425.519989,890800
2019-09-16,425.190002,427.000000,419.149994,423.250000,423.250000,908900
2019-09-17,423.309998,425.359985,419.049988,425.149994,425.149994,736600
2019-09-18,424.239990,425.709991,419.070007,425.420013,425.420013,808600
2019-09-19,426.779999,429.880005,425.100006,427.420013,427.420013,831500
2019-09-20,426.010010,427.290009,419.649994,420.350006,420.350006,2848400
2019-09-23,421.690002,423.510010,420.140015,421.510010,421.510010,1036800
2019-09-24,422.540009,424.589996,416.690002,417.529999,417.529999,1291000
2019-09-25,417.200012,418.570007,414.510010,416.660004,416.660004,1836900
2019-09-26,418.450012,418.750000,406.160004,411.000000,411.000000,2118300
2019-09-27,411.829987,411.829987,401.839996,406.209991,406.209991,1255000
2019-09-30,408.209991,413.769989,406.890015,412.119995,412.119995,838400
2019-10-01,412.529999,415.480011,405.019989,405.600006,405.600006,1062300
2019-10-02,409.910004,412.920013,405.799988,410.750000,410.750000,1148800
2019-10-03,409.010010,416.959991,406.700012,416.670013,416.670013,798300
2019-10-04,422.170013,429.399994,420.899994,427.720001,427.720001,1074500
2019-10-07,425.529999,432.160004,425.290009,430.040009,430.040009,969800
2019-10-08,426.910004,430.940002,423.049988,428.070007,428.070007,1226000
2019-10-09,431.230011,431.510010,427.480011,429.279999,429.279999,624400
2019-10-10,428.970001,430.299988,424.880005,426.929993,426.929993,693800
2019-10-11,430.220001,430.720001,422.880005,423.160004,423.160004,1235400
2019-10-14,423.890015,424.690002,421.920013,422.959991,422.959991,690000
2019-10-15,423.600006,435.450012,422.790009,432.920013,432.920013,1282900
2019-10-16,432.850006,440.269989,430.260010,438.100006,438.100006,906000
2019-10-17,439.549988,445.000000,437.320007,441.929993,441.929993,723500
2019-10-18,443.790009,444.410004,439.600006,440.049988,440.049988,821700
2019-10-21,442.220001,444.989990,437.260010,438.160004,438.160004,746100
2019-10-22,437.040009,441.010010,435.869995,437.230011,437.230011,1081300
2019-10-23,436.250000,439.390015,434.119995,435.559998,435.559998,911700
2019-10-24,435.109985,439.049988,432.640015,435.070007,435.070007,1033100
2019-10-25,460.869995,469.570007,442.250000,462.190002,462.190002,2254100
2019-10-28,465.829987,470.309998,465.230011,467.089996,467.089996,1072600
2019-10-29,464.010010,468.989990,463.190002,464.070007,464.070007,1054100
2019-10-30,464.100006,469.309998,462.309998,468.779999,468.779999,1597300
2019-10-31,468.260010,469.450012,462.350006,467.859985,467.859985,1432000
2019-11-01,469.970001,478.070007,469.049988,476.480011,476.480011,1144300
2019-11-04,477.700012,479.179993,471.369995,473.500000,473.500000,1011700
2019-11-05,474.429993,474.429993,467.510010,473.250000,473.250000,1043600
2019-11-06,472.720001,472.720001,462.989990,469.029999,469.029999,1228400
2019-11-07,468.619995,471.070007,463.959991,468.440002,468.440002,1067600
2019-11-08,467.260010,474.299988,465.410004,469.750000,469.750000,770200
2019-11-11,468.399994,474.600006,467.019989,473.500000,473.500000,777600
2019-11-12,473.410004,475.640015,472.220001,474.070007,474.070007,693000
2019-11-13,474.329987,482.619995,472.440002,480.160004,480.160004,1288600
2019-11-14,479.269989,480.290009,476.510010,479.970001,479.970001,861000
2019-11-15,482.440002,485.989990,473.209991,475.600006,475.600006,842300
2019-11-18,475.170013,477.450012,471.440002,474.070007,474.070007,1150900
2019-11-19,475.910004,480.519989,471.279999,478.970001,478.970001,794800
2019-11-20,475.929993,483.549988,474.850006,479.079987,479.079987,1148200
2019-11-21,479.950012,479.950012,474.220001,474.649994,474.649994,674200
2019-11-22,474.510010,477.119995,467.459991,468.500000,468.500000,987700
2019-11-25,471.380005,472.910004,464.679993,466.059998,466.059998,1013500
2019-11-26,467.299988,469.470001,463.940002,467.309998,467.309998,1555400
2019-11-27,467.239990,475.869995,466.329987,473.779999,473.779999,703700
