Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,226.000000,226.899994,222.919998,223.470001,223.470001,662900
2019-08-20,222.309998,223.300003,219.000000,219.190002,219.190002,551500
2019-08-21,222.330002,227.000000,221.009995,226.539993,226.539993,737000
2019-08-22,227.860001,229.000000,225.869995,227.279999,227.279999,657400
2019-08-23,226.259995,229.384003,222.559998,223.399994,223.399994,781200
2019-08-26,225.979996,226.820007,220.729996,223.199997,223.199997,429300
2019-08-27,224.369995,224.949997,220.720001,223.779999,223.779999,520600
2019-08-28,221.550003,224.250000,219.410004,222.479996,222.479996,496400
2019-08-29,225.759995,229.889999,224.529999,227.410004,227.410004,464000
2019-08-30,227.000000,228.119995,223.781998,226.619995,226.619995,545000
2019-09-03,225.899994,228.500000,222.106995,224.289993,224.289993,445900
2019-09-04,225.690002,227.940002,225.110001,226.229996,226.229996,594000
2019-09-05,229.410004,236.419998,228.923004,235.380005,235.380005,737900
2019-09-06,236.000000,237.264008,234.009995,235.699997,235.699997,558600
2019-09-09,237.360001,238.507004,227.830002,231.130005,231.130005,720500
2019-09-10,229.789993,238.000000,227.460007,237.940002,237.940002,703800
2019-09-11,239.000000,247.059998,238.000000,246.809998,246.809998,896500
2019-09-12,247.600006,251.389999,247.520004,249.940002,249.940002,1001500
2019-09-13,249.250000,250.000000,243.279999,243.759995,243.759995,607000
2019-09-16,241.589996,246.093002,240.820007,244.190002,244.190002,340100
2019-09-17,242.759995,245.979996,242.009995,244.449997,244.449997,620500
2019-09-18,245.899994,247.410004,243.539993,246.600006,246.600006,709400
2019-09-19,246.720001,251.854996,243.449997,244.130005,244.130005,610400
2019-09-20,245.479996,245.850006,239.449997,240.059998,240.059998,777000
2019-09-23,240.080002,243.149994,238.539993,240.750000,240.750000,589200
2019-09-24,243.240005,243.279999,235.718994,238.039993,238.039993,607200
2019-09-25,237.320007,242.289993,233.029999,241.559998,241.559998,441100
2019-09-26,240.339996,244.720001,237.830002,244.009995,244.009995,377900
2019-09-27,245.000000,247.720001,240.729996,242.779999,242.779999,417200
2019-09-30,242.779999,243.039993,238.380005,238.919998,238.919998,745000
2019-10-01,240.270004,241.490005,229.500000,230.350006,230.350006,723300
2019-10-02,227.479996,228.690002,222.354996,228.330002,228.330002,589200
2019-10-03,220.919998,224.339996,215.259995,224.339996,224.339996,923300
2019-10-04,224.389999,228.910004,224.179993,228.570007,228.570007,330300
2019-10-07,230.050003,232.550003,229.470001,230.940002,230.940002,355500
2019-10-08,230.080002,231.410004,225.106995,229.100006,229.100006,443500
2019-10-09,231.009995,231.919998,227.509995,230.029999,230.029999,462900
2019-10-10,228.559998,228.869995,225.500000,227.720001,227.720001,687500
2019-10-11,232.720001,238.740005,230.755997,236.440002,236.440002,557100
2019-10-14,236.369995,236.944000,233.309998,234.770004,234.770004,321400
2019-10-15,235.910004,243.580002,235.419998,240.970001,240.970001,493100
2019-10-16,238.770004,239.990005,235.589996,239.080002,239.080002,445700
2019-10-17,240.210007,241.770004,238.119995,241.509995,241.509995,394700
2019-10-18,239.619995,241.123001,237.100006,239.429993,239.429993,358500
2019-10-21,242.270004,246.169998,241.229996,243.839996,243.839996,463500
2019-10-22,245.559998,246.119995,239.940002,241.500000,241.500000,471900
2019-10-23,241.860001,246.781998,240.000000,246.610001,246.610001,372700
2019-10-24,246.009995,246.399994,234.695007,239.320007,239.320007,812500
2019-10-25,242.600006,245.259995,240.009995,244.360001,244.360001,709300
2019-10-28,246.500000,251.740005,245.914993,248.899994,248.899994,672300
2019-10-29,248.000000,249.529999,245.429993,245.960007,245.960007,359100
2019-10-30,246.000000,247.899994,243.110001,246.270004,246.270004,489600
2019-10-31,247.800003,247.800003,242.362000,244.570007,244.570007,1481800
2019-11-01,173.660004,189.339996,173.309998,185.300003,185.300003,10478600
2019-11-04,187.610001,192.567001,187.000000,191.270004,191.270004,2596800
2019-11-05,192.160004,192.490005,184.250000,188.779999,188.779999,1854900
2019-11-06,189.899994,192.779999,188.399994,190.429993,190.429993,1307000
2019-11-07,192.000000,196.990005,191.860001,194.440002,194.440002,1302600
2019-11-08,194.860001,194.929993,192.003006,192.610001,192.610001,808800
2019-11-11,191.470001,192.889999,189.225006,191.169998,191.169998,658300
2019-11-12,190.660004,194.479996,190.660004,193.970001,193.970001,925200
2019-11-13,193.899994,195.852005,190.250000,190.649994,190.649994,591200
2019-11-14,189.589996,191.130005,187.800003,190.559998,190.559998,1142700
2019-11-15,192.479996,193.910004,190.210007,192.619995,192.619995,834800
