Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,27.080000,27.660000,26.590000,26.799999,26.713409,6547000
2019-10-02,26.500000,26.510000,25.020000,25.370001,25.288031,14178200
2019-10-03,25.469999,25.510000,24.510000,25.270000,25.188353,8586400
2019-10-04,25.330000,25.850000,25.070000,25.830000,25.746544,6446100
2019-10-07,25.799999,26.059999,25.520000,25.830000,25.746544,5725400
2019-10-08,25.559999,26.799999,25.450001,26.260000,26.175154,9028100
2019-10-09,26.780001,27.330000,26.690001,27.070000,26.982536,8095500
2019-10-10,26.680000,27.250000,26.500000,27.180000,27.092182,7057600
2019-10-11,27.629999,28.020000,27.340000,27.360001,27.271601,7492400
2019-10-14,27.370001,27.660000,27.139999,27.620001,27.530762,3167100
2019-10-15,27.629999,28.370001,27.280001,28.270000,28.178661,7019200
2019-10-16,28.330000,28.809999,28.030001,28.049999,27.959370,6353300
2019-10-17,28.309999,28.440001,27.850000,27.930000,27.839758,6709600
2019-10-18,27.799999,28.320000,27.709999,28.219999,28.128820,5689100
2019-10-21,28.510000,28.910000,28.430000,28.620001,28.527531,6746400
2019-10-22,28.500000,28.690001,27.820000,28.260000,28.168692,8022000
2019-10-23,28.250000,28.400000,27.879999,28.290001,28.198597,8396900
2019-10-24,29.270000,29.850000,28.490000,29.410000,29.314976,17890900
2019-10-25,29.400000,30.889999,29.299999,30.860001,30.760292,13835700
2019-10-28,31.000000,31.670000,31.000000,31.360001,31.258677,10298500
2019-10-29,31.420000,31.490000,30.680000,30.920000,30.820097,6843200
2019-10-30,30.770000,30.940001,29.930000,30.290001,30.192135,10356100
2019-10-31,30.070000,30.209999,29.459999,30.059999,29.962875,8779400
2019-11-01,30.299999,30.610001,30.020000,30.559999,30.461260,8270900
2019-11-04,30.709999,30.990000,30.469999,30.950001,30.850002,5888600
2019-11-05,31.000000,31.580000,30.910000,31.180000,31.180000,5500000
2019-11-06,31.170000,31.190001,30.650000,30.959999,30.959999,4270300
2019-11-07,31.209999,31.440001,30.750000,30.889999,30.889999,6342400
2019-11-08,30.719999,30.850000,29.959999,30.760000,30.760000,6352900
2019-11-11,30.540001,30.750000,30.200001,30.590000,30.590000,4109100
2019-11-12,30.580000,30.670000,29.400000,29.520000,29.520000,8662900
2019-11-13,29.030001,29.160000,28.570000,28.660000,28.660000,7152300
2019-11-14,28.750000,28.900000,28.459999,28.770000,28.770000,4393200
2019-11-15,28.950001,29.200001,28.799999,28.860001,28.860001,4552000
