Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,82.459999,84.000000,81.639999,82.379997,79.518288,5015200
2018-12-24,81.589996,81.750000,78.440002,78.500000,75.773064,2322100
2018-12-26,79.010002,84.250000,78.930000,84.199997,81.275047,3493300
2018-12-27,82.949997,85.870003,82.699997,85.820000,82.838776,2737800
2018-12-28,86.250000,86.879997,84.470001,84.959999,82.008652,2248900
2018-12-31,85.430000,86.260002,84.610001,86.150002,83.157326,2580600
2019-01-02,85.320000,88.440002,85.000000,88.120003,85.058891,3147800
2019-01-03,88.180000,88.459999,85.099998,86.900002,83.881271,3182000
2019-01-04,88.449997,91.150002,87.949997,90.839996,87.684387,3307200
2019-01-07,90.610001,92.459999,89.559998,91.470001,88.292519,3474000
2019-01-08,92.290001,92.570000,90.169998,91.389999,88.215286,2357300
2019-01-09,92.300003,92.589996,90.320000,91.989998,88.794441,2588600
2019-01-10,91.750000,92.989998,90.370003,92.940002,89.711449,2323700
2019-01-11,92.250000,93.690002,91.870003,92.690002,89.470131,2102600
2019-01-14,91.790001,93.150002,91.320000,92.830002,89.605278,2178600
2019-01-15,93.459999,93.730003,91.940002,92.449997,89.238464,1953500
2019-01-16,92.120003,93.370003,91.860001,92.989998,89.759712,2316100
2019-01-17,92.540001,94.129997,92.309998,93.419998,90.174774,3069200
2019-01-18,94.320000,95.760002,92.900002,95.300003,91.989464,4014900
2019-01-22,94.610001,95.400002,92.820000,93.000000,89.769356,4733500
2019-01-23,93.290001,93.790001,92.209999,92.629997,89.412216,2542400
2019-01-24,92.500000,93.029999,91.330002,91.330002,88.157372,3194000
2019-01-25,92.250000,93.620003,91.610001,93.019997,89.788658,2044800
2019-01-28,92.000000,93.050003,91.910004,92.500000,89.286736,2349500
2019-01-29,92.730003,93.690002,91.889999,93.349998,90.107201,2056500
2019-01-30,94.040001,95.250000,93.650002,94.529999,91.246216,3093300
2019-01-31,96.099998,96.599998,95.070000,95.410004,92.095642,4044500
2019-02-01,95.570000,95.949997,93.410004,94.209999,90.937332,2618100
2019-02-04,93.800003,94.760002,93.209999,94.760002,91.468231,2758500
2019-02-05,94.760002,95.540001,94.400002,95.169998,91.863976,2849300
2019-02-06,94.650002,95.440002,94.339996,94.419998,91.140030,3127800
2019-02-07,94.410004,95.209999,91.360001,91.739998,88.553131,5291500
2019-02-08,94.919998,95.169998,91.720001,93.519997,90.271294,4248400
2019-02-11,92.989998,95.349998,92.870003,94.230003,90.956642,4229500
2019-02-12,95.250000,95.489998,93.910004,94.000000,90.734627,2486000
2019-02-13,94.269997,96.330002,94.089996,96.120003,92.780983,2627100
2019-02-14,95.570000,96.230003,95.089996,95.650002,92.327309,2701500
2019-02-15,96.000000,96.750000,95.209999,95.989998,93.436981,2647300
2019-02-19,95.440002,96.959999,95.389999,96.750000,94.176773,2108000
2019-02-20,96.750000,98.129997,96.070000,97.449997,94.858154,3586900
2019-02-21,97.279999,98.269997,96.400002,96.809998,94.235176,2054000
2019-02-22,97.779999,98.099998,97.000000,97.360001,94.770546,2102500
2019-02-25,97.150002,97.699997,97.010002,97.290001,94.702415,1661000
2019-02-26,97.330002,98.290001,97.180000,97.839996,95.237778,2274400
2019-02-27,98.099998,98.839996,97.330002,97.639999,95.043098,1881900
2019-02-28,97.930000,98.059998,95.940002,96.360001,93.797150,2351200
2019-03-01,96.820000,97.860001,96.459999,97.480003,94.887360,2879000
2019-03-04,98.410004,98.410004,95.650002,97.279999,94.692680,2386200
2019-03-05,97.470001,97.889999,96.820000,97.459999,94.867889,2511900
2019-03-06,97.459999,98.760002,97.040001,97.599998,95.004166,2644600
2019-03-07,97.580002,97.709999,95.889999,96.449997,93.884750,3638000
2019-03-08,95.260002,95.449997,93.839996,94.309998,91.801674,3334100
2019-03-11,95.139999,96.800003,94.820000,96.669998,94.098900,2257400
2019-03-12,97.040001,98.239998,96.750000,97.389999,94.799744,2362600
2019-03-13,98.050003,98.349998,97.379997,98.080002,95.471405,2294500
2019-03-14,98.250000,98.669998,97.650002,98.470001,95.851028,1663000
2019-03-15,98.000000,99.800003,97.900002,98.519997,95.899696,3785800
2019-03-18,98.599998,99.269997,97.750000,98.720001,96.094383,2530800
2019-03-19,99.290001,100.410004,98.559998,98.889999,96.259857,2932600
2019-03-20,98.639999,99.309998,97.849998,98.180000,95.568741,3292600
2019-03-21,98.040001,99.139999,97.870003,98.550003,95.928909,2124000
2019-03-22,97.720001,97.980003,95.480003,95.980003,93.427254,1856900
2019-03-25,95.760002,95.970001,94.930000,95.860001,93.310448,1357500
2019-03-26,96.660004,98.309998,96.660004,98.019997,95.412987,2284700
2019-03-27,97.750000,98.290001,96.970001,97.269997,94.682945,1657400
2019-03-28,96.809998,97.269997,95.160004,95.669998,93.125488,2524800
2019-03-29,96.610001,96.910004,94.480003,95.169998,92.638794,2900400
2019-04-01,96.010002,96.290001,94.660004,95.070000,92.541466,2635300
2019-04-02,95.339996,95.779999,93.870003,94.519997,92.006081,2594800
2019-04-03,94.959999,96.370003,94.830002,95.040001,92.512253,2096100
2019-04-04,95.559998,96.870003,94.570000,96.860001,94.283852,2146800
2019-04-05,96.839996,98.120003,96.330002,97.790001,95.189117,2705200
2019-04-08,97.879997,98.860001,97.209999,98.300003,95.685555,2332400
2019-04-09,97.639999,98.239998,96.959999,97.370003,94.780289,2352800
2019-04-10,97.900002,99.339996,97.639999,98.610001,95.987305,1792100
2019-04-11,98.769997,99.660004,98.160004,98.510002,95.889969,1486200
2019-04-12,99.559998,99.730003,96.959999,97.169998,94.585602,2223700
2019-04-15,96.839996,97.160004,96.040001,96.239998,93.680336,1934400
2019-04-16,96.150002,96.360001,94.620003,95.980003,93.427254,1829600
2019-04-17,96.660004,97.209999,95.940002,96.459999,93.894478,1591600
2019-04-18,96.459999,96.750000,94.849998,95.419998,92.882149,2400100
2019-04-22,96.190002,97.379997,95.830002,97.139999,94.556396,1927300
2019-04-23,97.379997,97.919998,96.589996,97.400002,94.809486,2461000
2019-04-24,97.360001,97.360001,94.040001,94.279999,91.772469,2974100
2019-04-25,94.150002,96.040001,93.529999,95.220001,92.687469,2745400
2019-04-26,94.849998,95.529999,94.000000,94.919998,92.395447,2091500
2019-04-29,95.250000,95.919998,94.879997,95.360001,92.823746,2651200
2019-04-30,95.500000,96.639999,93.650002,94.269997,91.762733,3303300
2019-05-01,94.250000,94.889999,91.779999,91.839996,89.397354,3350700
2019-05-02,91.750000,91.959999,88.870003,89.099998,86.730240,3708800
2019-05-03,89.889999,90.570000,89.529999,89.559998,87.178001,2811100
2019-05-06,88.320000,88.699997,86.980003,87.029999,84.715294,3427500
2019-05-07,86.400002,86.660004,84.849998,86.550003,84.248062,3421700
2019-05-08,86.669998,87.000000,85.480003,85.900002,83.615349,3095300
2019-05-09,85.459999,86.059998,83.720001,85.750000,83.469337,3393700
2019-05-10,85.760002,87.120003,84.550003,86.650002,84.345406,3094900
2019-05-13,85.599998,86.610001,84.730003,85.790001,83.508270,3065600
2019-05-14,86.139999,87.400002,86.050003,86.919998,84.608208,2450300
2019-05-15,86.709999,87.650002,86.150002,87.300003,84.978111,2059900
2019-05-16,87.500000,88.769997,87.500000,88.300003,85.951523,2645700
2019-05-17,86.559998,86.739998,84.720001,84.809998,83.404434,2562400
2019-05-20,84.629997,85.669998,84.300003,84.519997,83.119240,2106500
2019-05-21,84.699997,86.599998,84.680000,86.160004,84.732071,2722600
2019-05-22,85.730003,86.290001,85.300003,85.599998,84.181343,2111600
2019-05-23,84.300003,84.349998,82.010002,82.269997,80.906532,3020000
2019-05-24,83.010002,83.720001,82.239998,82.940002,81.565430,2661600
2019-05-28,82.930000,83.260002,82.360001,82.519997,81.152382,3105100
2019-05-29,81.760002,82.790001,81.550003,82.750000,81.378578,2232000
2019-05-30,82.419998,83.019997,81.330002,82.059998,80.700012,2449600
2019-05-31,80.739998,81.769997,80.239998,80.800003,79.460899,2785000
2019-06-03,80.919998,82.269997,80.599998,82.199997,80.837692,3144800
2019-06-04,83.169998,84.239998,83.129997,84.120003,82.725883,2781800
2019-06-05,84.669998,84.879997,82.800003,84.830002,83.424110,3097000
2019-06-06,84.769997,85.949997,83.919998,84.900002,83.492950,2837200
2019-06-07,85.349998,85.940002,84.480003,85.519997,84.102669,2623700
2019-06-10,85.800003,86.769997,85.669998,85.900002,84.476379,3026700
2019-06-11,86.559998,87.190002,84.709999,84.709999,83.306091,2736700
2019-06-12,84.339996,85.410004,82.940002,83.250000,81.870293,3232800
2019-06-13,84.089996,85.739998,84.019997,85.239998,83.827309,3029700
2019-06-14,85.220001,85.879997,84.599998,85.589996,84.171509,1830500
2019-06-17,85.489998,86.489998,85.489998,85.910004,84.486214,2003400
2019-06-18,86.339996,87.709999,86.339996,86.800003,85.361465,2336600
2019-06-19,86.919998,87.980003,86.349998,87.599998,86.148201,2901700
2019-06-20,89.070000,91.279999,88.599998,90.830002,89.324669,4082600
2019-06-21,91.400002,91.919998,90.000000,90.580002,89.078812,6129800
2019-06-24,90.360001,91.239998,89.339996,89.760002,88.272408,2360800
2019-06-25,89.419998,90.599998,89.059998,89.830002,88.341240,3343800
2019-06-26,91.000000,93.510002,90.529999,92.760002,91.222687,3816200
2019-06-27,92.660004,92.949997,91.540001,91.750000,90.229416,2086400
2019-06-28,92.129997,93.639999,92.010002,93.540001,91.989761,4442600
2019-07-01,94.860001,95.330002,93.620003,94.059998,92.501137,2668700
2019-07-02,93.720001,96.150002,93.059998,95.720001,94.133629,4112200
2019-07-03,96.000000,97.040001,95.860001,97.019997,95.412079,2035500
2019-07-05,96.680000,97.349998,95.680000,96.800003,95.195732,1956000
2019-07-08,96.550003,98.540001,96.550003,96.959999,95.353081,3044500
2019-07-09,96.989998,98.339996,96.589996,97.720001,96.100479,2369900
2019-07-10,98.220001,98.959999,97.510002,98.110001,96.484016,1954600
2019-07-11,98.660004,99.650002,97.959999,99.589996,97.939484,2446600
2019-07-12,99.250000,100.650002,99.250000,100.330002,98.667229,1842400
2019-07-15,100.349998,101.150002,99.389999,101.010002,99.335960,3089500
2019-07-16,101.000000,101.769997,99.809998,101.379997,99.699821,2625600
2019-07-17,101.389999,102.040001,100.279999,100.790001,99.119598,2254400
2019-07-18,100.199997,101.930000,99.830002,101.919998,100.230873,2468000
2019-07-19,102.330002,102.870003,101.800003,101.959999,100.270210,3972900
2019-07-22,102.610001,103.150002,101.529999,102.550003,100.850433,1966800
2019-07-23,103.000000,103.260002,101.980003,102.320000,100.624245,1873800
2019-07-24,102.040001,102.820000,101.360001,102.419998,100.722588,2924400
2019-07-25,102.709999,102.839996,99.980003,101.570000,99.886673,3649000
2019-07-26,102.349998,102.639999,100.470001,102.320000,100.624245,2267300
2019-07-29,101.910004,103.220001,101.330002,102.809998,101.106125,2275200
2019-07-30,102.360001,103.650002,101.589996,103.610001,101.892868,1465900
2019-07-31,103.629997,104.459999,101.480003,102.559998,100.860260,2415900
2019-08-01,101.949997,103.599998,101.410004,101.989998,100.299713,2153200
2019-08-02,101.760002,101.900002,99.430000,99.519997,97.870644,2075600
2019-08-05,97.900002,98.349998,94.989998,95.639999,94.054947,3034800
2019-08-06,96.559998,97.540001,96.040001,97.410004,95.795624,2164500
2019-08-07,95.629997,97.730003,95.059998,97.330002,95.716949,2349800
2019-08-08,98.309998,100.739998,97.879997,100.709999,99.040932,2311900
2019-08-09,100.529999,100.959999,99.559998,100.440002,98.775406,2005600
2019-08-12,100.070000,100.139999,97.809998,98.309998,96.680695,2069700
2019-08-13,97.919998,101.150002,97.099998,99.739998,98.086998,2267800
2019-08-14,97.610001,98.699997,97.129997,97.529999,95.913628,2529800
2019-08-15,97.919998,98.449997,96.379997,97.470001,95.854630,2089900
2019-08-16,98.040001,99.099998,97.669998,98.830002,97.192093,2118400
2019-08-19,99.290001,99.720001,98.099998,98.760002,98.015831,2747900
2019-08-20,98.800003,99.690002,98.059998,98.680000,97.936432,1904500
2019-08-21,99.610001,100.000000,98.279999,99.300003,98.551765,1988300
2019-08-22,99.250000,99.930000,98.209999,98.459999,97.718086,1946100
2019-08-23,97.480003,98.870003,94.730003,95.180000,94.462807,3305100
2019-08-26,96.029999,96.400002,95.099998,96.309998,95.584290,1568100
2019-08-27,96.980003,97.489998,94.349998,94.519997,93.807770,2586000
2019-08-28,94.540001,96.860001,94.540001,96.169998,95.445343,2318100
2019-08-29,97.110001,98.459999,97.040001,98.120003,97.380653,2372500
2019-08-30,98.669998,99.750000,98.129997,98.629997,97.886803,1932500
2019-09-03,97.279999,99.610001,97.029999,99.470001,98.720482,2140100
2019-09-04,100.339996,100.610001,99.110001,99.690002,98.938820,1664100
2019-09-05,100.599998,101.500000,99.750000,99.800003,99.047997,2668700
2019-09-06,100.129997,101.379997,99.419998,100.910004,100.149628,2117500
2019-09-09,101.550003,102.739998,101.010002,102.169998,101.400131,2396100
2019-09-10,102.419998,103.910004,102.250000,102.959999,102.184181,2367200
2019-09-11,103.290001,104.220001,102.099998,102.470001,101.697876,1924500
2019-09-12,101.440002,102.610001,100.699997,102.190002,101.419983,1868500
2019-09-13,102.930000,103.430000,102.089996,102.769997,101.995605,1688400
2019-09-16,102.110001,105.000000,102.019997,104.029999,103.246117,4654400
2019-09-17,103.730003,103.930000,101.959999,102.199997,101.429901,2464500
2019-09-18,101.650002,103.150002,101.150002,102.989998,102.213951,1814700
2019-09-19,103.470001,103.989998,102.589996,103.080002,102.303276,1332700
2019-09-20,103.419998,104.040001,102.870003,103.269997,102.491844,9381800
2019-09-23,103.010002,104.820000,103.010002,104.260002,103.474388,2413000
2019-09-24,104.199997,104.389999,102.330002,103.620003,102.839211,2599700
2019-09-25,103.389999,105.519997,102.900002,105.059998,104.268356,3043400
2019-09-26,104.629997,105.050003,103.110001,104.559998,103.772118,1762600
2019-09-27,104.809998,105.480003,102.980003,103.660004,102.878906,2297000
2019-09-30,103.400002,103.949997,102.339996,102.400002,101.628403,1801600
2019-10-01,103.160004,103.510002,100.830002,101.029999,100.268723,1897900
2019-10-02,100.400002,100.459999,97.199997,98.239998,97.499741,2066700
2019-10-03,97.760002,98.889999,96.949997,98.870003,98.125000,1639800
2019-10-04,99.269997,100.980003,99.209999,100.860001,100.100006,2097300
2019-10-07,101.260002,102.250000,100.730003,101.360001,100.596237,2377200
2019-10-08,100.879997,101.550003,100.389999,100.820000,100.060303,1904300
2019-10-09,101.959999,103.570000,101.760002,102.709999,101.936066,1827300
2019-10-10,103.620003,106.709999,103.449997,106.599998,105.796753,3782100
2019-10-11,107.000000,108.199997,106.419998,106.529999,105.727280,2388900
2019-10-14,106.000000,107.190002,105.779999,106.650002,105.846375,1409000
2019-10-15,106.500000,108.120003,106.160004,107.300003,106.491478,1606400
2019-10-16,106.790001,107.769997,105.940002,106.260002,105.459312,1865400
2019-10-17,107.000000,107.260002,106.389999,107.209999,106.402153,1767600
2019-10-18,107.000000,107.980003,106.709999,107.199997,106.392227,3015900
2019-10-21,108.000000,108.570000,107.570000,108.199997,107.384689,1638800
2019-10-22,108.690002,109.830002,108.070000,108.769997,107.950394,1571400
2019-10-23,108.769997,109.199997,108.330002,109.000000,108.178665,2329600
2019-10-24,109.510002,110.970001,109.180000,110.629997,109.796379,3471800
2019-10-25,112.230003,117.000000,111.900002,114.419998,113.557823,6245800
2019-10-28,115.000000,118.919998,115.000000,117.250000,116.366501,4706800
2019-10-29,116.489998,119.779999,116.349998,118.959999,118.063614,3838400
2019-10-30,119.220001,119.220001,116.160004,116.449997,115.572525,2286700
2019-10-31,116.650002,117.239998,114.900002,116.820000,115.939743,3940600
2019-11-01,117.629997,118.589996,117.400002,118.400002,117.507835,2248800
2019-11-04,119.470001,119.559998,117.610001,118.540001,117.646782,2031600
2019-11-05,119.000000,119.889999,117.839996,118.919998,118.023918,2268900
2019-11-06,119.180000,119.389999,117.760002,118.419998,117.527687,2130300
2019-11-07,119.150002,119.790001,118.400002,119.570000,118.669022,2386400
2019-11-08,118.889999,119.919998,118.099998,119.699997,118.798035,1577600
2019-11-11,118.650002,119.820000,118.349998,118.410004,117.517769,1634300
2019-11-12,118.860001,119.570000,117.559998,118.099998,117.210098,2178400
2019-11-13,117.349998,118.919998,117.120003,118.430000,117.537613,1542200
2019-11-14,118.650002,119.580002,118.379997,119.440002,118.540001,1507500
