Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,42.060001,42.570000,41.790001,42.259998,41.943748,1526000
2019-08-14,42.230000,42.240002,41.380001,41.459999,41.149734,1626000
2019-08-15,41.470001,42.349998,41.259998,42.160000,41.844498,1266200
2019-08-16,42.410000,42.720001,42.189999,42.639999,42.320908,935800
2019-08-19,42.660000,43.369999,42.470001,43.189999,42.866791,2145700
2019-08-20,43.430000,43.430000,42.810001,43.080002,42.757614,2634000
2019-08-21,43.290001,43.759998,42.869999,43.270000,42.946194,4363900
2019-08-22,43.270000,43.840000,43.270000,43.680000,43.353123,1120300
2019-08-23,43.680000,43.700001,42.400002,42.680000,42.360607,1531200
2019-08-26,42.830002,43.110001,42.410000,42.660000,42.340755,1581500
2019-08-27,42.599998,42.660000,41.669998,42.049999,41.735321,1829100
2019-08-28,41.980000,42.080002,41.560001,41.970001,41.655922,1641800
2019-08-29,42.230000,43.520000,41.889999,43.310001,42.985893,4164400
2019-08-30,44.919998,48.029999,44.750000,45.000000,44.663246,11450600
2019-09-03,44.810001,45.500000,44.139999,45.430000,45.090027,3118200
2019-09-04,45.700001,46.200001,45.049999,45.070000,44.732723,2396600
2019-09-05,45.130001,45.130001,44.270000,44.619999,44.286087,2129300
2019-09-06,44.779999,45.200001,44.529999,44.980000,44.643394,1851600
2019-09-09,45.070000,45.080002,44.110001,44.590000,44.256313,2620300
2019-09-10,44.430000,45.939999,44.299999,45.889999,45.546585,3165200
2019-09-11,45.889999,46.660000,45.639999,46.660000,46.310822,3144400
2019-09-12,46.900002,47.459999,46.889999,47.150002,46.797157,4153800
2019-09-13,46.889999,47.349998,46.009998,46.279999,45.933666,4608600
2019-09-16,46.070000,46.779999,45.820000,46.740002,46.390228,1932200
2019-09-17,46.570000,47.119999,46.439999,46.689999,46.340599,2841700
2019-09-18,46.709999,46.939999,46.119999,46.580002,46.231422,2606700
2019-09-19,46.590000,46.730000,46.180000,46.610001,46.261200,1859200
2019-09-20,46.490002,47.250000,46.490002,46.759998,46.410072,7062000
2019-09-23,46.910000,47.040001,46.660000,46.660000,46.310822,1421800
2019-09-24,46.849998,46.939999,46.130001,46.150002,45.804642,1481600
2019-09-25,46.259998,46.889999,46.230000,46.560001,46.211575,2179800
2019-09-26,46.910000,46.939999,46.419998,46.700001,46.350525,1334800
2019-09-27,46.730000,46.980000,46.410000,46.869999,46.519253,1167400
2019-09-30,46.849998,47.270000,46.790001,46.919998,46.568874,1630700
2019-10-01,47.000000,47.200001,46.660000,46.820000,46.469627,1750600
2019-10-02,46.639999,46.799999,46.119999,46.160000,45.814564,1937700
2019-10-03,46.290001,46.939999,45.950001,46.770000,46.420002,1593100
2019-10-04,46.939999,47.419998,46.779999,47.340000,46.985733,1573000
2019-10-07,47.060001,47.380001,46.799999,47.000000,46.648277,909700
2019-10-08,47.009998,47.220001,46.660000,46.770000,46.420002,1609300
2019-10-09,46.590000,46.840000,46.380001,46.830002,46.830002,995000
2019-10-10,46.590000,47.380001,46.529999,47.320000,47.320000,2402300
2019-10-11,47.320000,47.470001,46.820000,46.869999,46.869999,1954200
2019-10-14,46.880001,47.020000,46.549999,46.830002,46.830002,2255400
2019-10-15,46.830002,46.830002,45.770000,46.610001,46.610001,1592300
2019-10-16,46.610001,47.200001,46.529999,47.169998,47.169998,1498300
2019-10-17,47.500000,48.380001,47.349998,47.959999,47.959999,2886800
2019-10-18,47.900002,48.230000,47.540001,47.560001,47.560001,2235300
2019-10-21,47.560001,48.200001,47.560001,47.889999,47.889999,1846600
2019-10-22,48.000000,48.000000,47.450001,47.669998,47.669998,2143700
2019-10-23,47.709999,48.070000,47.450001,47.799999,47.799999,1784300
2019-10-24,47.630001,47.740002,46.730000,47.080002,47.080002,1854900
2019-10-25,47.180000,47.180000,46.270000,46.459999,46.459999,1544600
2019-10-28,46.410000,46.570000,46.070000,46.560001,46.560001,1588900
2019-10-29,46.759998,47.020000,46.349998,46.490002,46.490002,1973700
2019-10-30,46.630001,46.810001,46.029999,46.270000,46.270000,1098600
2019-10-31,46.349998,46.779999,46.009998,46.310001,46.310001,1637000
2019-11-01,46.270000,46.860001,46.189999,46.540001,46.540001,1254000
2019-11-04,46.439999,46.619999,46.070000,46.340000,46.340000,1212700
2019-11-05,46.270000,46.799999,46.250000,46.490002,46.490002,1420400
2019-11-06,46.590000,47.060001,46.529999,46.599998,46.599998,1381100
2019-11-07,46.959999,47.130001,46.180000,46.419998,46.419998,2025600
2019-11-08,46.380001,46.400002,45.910000,46.250000,46.250000,1257900
2019-11-11,46.240002,46.250000,45.849998,46.070000,46.070000,972800
2019-11-12,46.189999,46.419998,46.099998,46.380001,46.380001,1251900
2019-11-13,46.509998,47.410000,46.270000,47.369999,47.369999,1740200
2019-11-14,47.459999,47.560001,46.889999,47.070000,47.070000,2096300
2019-11-15,46.930000,47.360001,46.540001,47.279999,47.279999,1349600
