Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,77.000000,79.080002,75.470001,77.760002,77.760002,14202100
2018-11-21,79.089996,79.889999,77.635002,79.120003,79.120003,8522900
2018-11-23,78.089996,79.709999,77.900002,77.949997,77.949997,3066900
2018-11-26,78.970001,80.980003,78.860001,80.860001,80.860001,9292900
2018-11-27,81.000000,82.000000,80.205002,81.970001,81.970001,5335200
2018-11-28,82.269997,86.000000,81.949997,85.980003,85.980003,9342000
2018-11-29,85.370003,85.675003,83.790001,84.260002,84.260002,6516600
2018-11-30,84.389999,85.860001,83.660004,85.809998,85.809998,11273300
2018-12-03,87.290001,88.839996,87.190002,87.980003,87.980003,10822500
2018-12-04,87.239998,88.470001,84.019997,84.190002,84.190002,8249900
2018-12-06,81.820000,85.860001,81.290001,85.820000,85.820000,10197700
2018-12-07,84.959999,85.989998,81.970001,82.769997,82.769997,8419500
2018-12-10,83.250000,85.500000,82.760002,84.930000,84.930000,9348200
2018-12-11,86.010002,86.900002,84.559998,85.510002,85.510002,8159100
2018-12-12,86.839996,88.459999,86.500000,86.500000,86.500000,10306800
2018-12-13,87.730003,88.709999,86.410004,87.559998,87.559998,8877300
2018-12-14,86.379997,87.940002,85.419998,85.919998,85.919998,6869100
2018-12-17,85.690002,86.300003,83.350998,84.099998,84.099998,8368100
2018-12-18,84.699997,86.370003,84.620003,85.510002,85.510002,9573000
2018-12-19,85.629997,87.800003,82.930000,84.029999,84.029999,11258400
2018-12-20,83.779999,84.870003,80.820000,82.440002,82.440002,12532900
2018-12-21,82.809998,83.769997,77.690002,78.139999,78.139999,17704900
2018-12-24,77.480003,79.320000,76.699997,77.059998,77.059998,6800500
2018-12-26,77.699997,82.800003,77.650002,82.800003,82.800003,10994700
2018-12-27,81.330002,84.360001,80.239998,84.309998,84.309998,7849100
2018-12-28,85.000000,85.230003,82.339996,83.260002,83.260002,6850400
2018-12-31,84.239998,84.480003,82.550003,84.089996,84.089996,7247700
2019-01-02,82.379997,86.199997,82.239998,85.750000,85.750000,10146200
2019-01-03,84.360001,84.750000,81.910004,82.089996,82.089996,9650700
2019-01-04,83.709999,86.910004,83.370003,86.269997,86.269997,9234800
2019-01-07,86.419998,87.550003,86.019997,86.930000,86.930000,11094100
2019-01-08,88.110001,88.894997,87.690002,88.699997,88.699997,8307600
2019-01-09,88.809998,90.315002,88.500000,89.550003,89.550003,9578300
2019-01-10,89.099998,90.790001,87.917999,90.699997,90.699997,7478100
2019-01-11,90.110001,91.143997,90.099998,90.650002,90.650002,7398200
2019-01-14,89.959999,90.809998,89.550003,90.430000,90.430000,6084700
2019-01-15,90.639999,91.910004,90.190002,91.599998,91.599998,10377900
2019-01-16,91.720001,92.349998,90.209999,90.550003,90.550003,8475000
2019-01-17,90.250000,90.870003,89.809998,90.400002,90.400002,10254500
2019-01-18,91.349998,91.440002,89.779999,91.120003,91.120003,11958400
2019-01-22,90.330002,90.970001,89.089996,89.940002,89.940002,7890300
2019-01-23,90.739998,91.169998,89.570000,90.500000,90.500000,5595700
2019-01-24,90.669998,92.989998,90.550003,92.199997,92.199997,9749100
2019-01-25,93.050003,94.580002,92.690002,94.279999,94.279999,11664300
2019-01-28,93.300003,93.419998,90.690002,92.300003,92.300003,7361100
2019-01-29,92.330002,92.849998,90.570000,91.120003,91.120003,6399900
2019-01-30,92.019997,93.339996,90.900002,92.419998,92.419998,11622800
2019-01-31,89.019997,90.089996,86.620003,88.760002,88.760002,23729900
2019-02-01,88.360001,90.500000,88.250000,90.010002,90.010002,10514600
2019-02-04,89.879997,92.120003,89.709999,91.660004,91.660004,7084500
2019-02-05,91.910004,92.349998,91.360001,92.269997,92.269997,5591300
2019-02-06,90.800003,92.290001,90.190002,92.250000,92.250000,5939400
2019-02-07,91.110001,91.709999,90.010002,90.849998,90.849998,7283800
2019-02-08,90.019997,91.910004,90.000000,91.870003,91.870003,7642100
2019-02-11,92.250000,93.750000,92.150002,92.690002,92.690002,6455900
2019-02-12,93.440002,94.510002,93.199997,94.379997,94.379997,7497000
2019-02-13,94.589996,96.040001,93.844002,94.010002,94.010002,8577900
2019-02-14,93.650002,94.989998,93.099998,94.419998,94.419998,6579200
2019-02-15,95.000000,95.430000,94.449997,94.910004,94.910004,6080200
2019-02-19,94.449997,95.300003,94.059998,95.019997,95.019997,8092400
2019-02-20,95.000000,95.720001,93.980003,94.730003,94.730003,8154100
2019-02-21,94.720001,95.510002,94.330002,94.959999,94.959999,6410000
2019-02-22,95.239998,96.000000,95.070000,95.980003,95.980003,4898000
2019-02-25,96.070000,97.304001,96.000000,96.699997,96.699997,7470700
2019-02-26,96.339996,96.820000,95.529999,96.589996,96.589996,5906400
2019-02-27,96.110001,98.040001,95.930000,97.860001,97.860001,5565400
2019-02-28,97.660004,98.525002,97.080002,98.070000,98.070000,6151800
2019-03-01,98.919998,99.449997,98.339996,98.800003,98.800003,5434000
2019-03-04,98.029999,98.500000,95.339996,96.570000,96.570000,7855800
2019-03-05,96.650002,97.139999,96.150002,96.529999,96.529999,6321900
2019-03-06,96.519997,97.279999,95.910004,96.459999,96.459999,3226500
2019-03-07,96.169998,96.750000,95.300003,96.209999,96.209999,6170100
2019-03-08,95.040001,95.769997,94.510002,95.690002,95.690002,4577700
2019-03-11,96.010002,97.570000,95.954002,97.449997,97.449997,5387500
2019-03-12,98.000000,98.080002,96.900002,97.500000,97.500000,5624500
2019-03-13,98.199997,100.589996,98.139999,99.309998,99.309998,9356600
2019-03-14,99.459999,99.669998,98.930000,99.029999,99.029999,5414700
2019-03-15,99.400002,101.260002,99.330002,100.730003,100.730003,10960900
2019-03-18,101.209999,101.830002,99.370003,100.269997,100.269997,6454000
2019-03-19,100.599998,101.684998,100.599998,101.540001,101.540001,6965100
2019-03-20,101.449997,103.050003,100.839996,102.309998,102.309998,6462900
2019-03-21,102.150002,104.559998,102.084999,104.150002,104.150002,7216700
2019-03-22,103.870003,104.000000,101.250000,101.269997,101.269997,7195000
2019-03-25,100.940002,102.180000,100.510002,101.550003,101.550003,5117700
2019-03-26,102.339996,103.285004,101.750000,103.150002,103.150002,4498000
2019-03-27,103.199997,104.169998,101.739998,103.070000,103.070000,5450200
2019-03-28,103.449997,104.010002,102.669998,103.860001,103.860001,4459900
2019-03-29,104.519997,104.699997,103.459999,103.839996,103.839996,5625500
2019-04-01,104.989998,105.760002,103.849998,105.550003,105.550003,6157200
2019-04-02,105.760002,105.760002,104.660004,105.230003,105.230003,4177400
2019-04-03,105.910004,105.970001,104.489998,104.690002,104.690002,5441900
2019-04-04,104.699997,104.970001,102.650002,104.459999,104.459999,7996800
2019-04-05,104.839996,105.800003,104.620003,105.730003,105.730003,8573800
2019-04-08,105.660004,107.000000,104.669998,106.570000,106.570000,9261800
2019-04-09,106.059998,107.510002,105.830002,106.930000,106.930000,7217100
2019-04-10,107.150002,107.769997,106.389999,107.510002,107.510002,6561800
2019-04-11,107.510002,107.739998,105.910004,106.459999,106.459999,7681000
2019-04-12,107.029999,108.540001,106.410004,108.480003,108.480003,6997700
2019-04-15,108.580002,109.000000,107.309998,108.139999,108.139999,4480100
2019-04-16,108.800003,108.800003,107.580002,108.199997,108.199997,3766100
2019-04-17,107.805000,108.860001,107.250000,108.809998,108.809998,5353700
2019-04-18,108.360001,108.449997,105.080002,107.360001,107.360001,10220700
2019-04-22,106.790001,107.180000,106.019997,106.809998,106.809998,6408500
2019-04-23,107.099998,107.510002,106.440002,106.900002,106.900002,8564200
2019-04-24,107.110001,108.389999,106.419998,107.220001,107.220001,9553100
2019-04-25,108.519997,110.919998,108.519997,110.220001,110.220001,10959400
2019-04-26,109.720001,110.570000,107.879997,110.559998,110.559998,7683200
2019-04-29,110.699997,113.000000,110.440002,112.440002,112.440002,6989300
2019-04-30,112.440002,113.220001,111.199997,112.769997,112.769997,6489400
2019-05-01,113.209999,113.690002,110.919998,110.940002,110.940002,5442200
2019-05-02,110.599998,111.160004,108.910004,109.699997,109.699997,5272400
2019-05-03,110.570000,112.120003,110.250000,111.959999,111.959999,4660500
2019-05-06,109.440002,111.120003,108.580002,110.849998,110.849998,4722600
2019-05-07,110.169998,110.169998,107.639999,108.949997,108.949997,6178700
2019-05-08,108.580002,109.879997,108.150002,109.070000,109.070000,4118000
2019-05-09,108.099998,110.133003,107.248001,109.730003,109.730003,4657300
2019-05-10,109.220001,110.680000,107.459999,110.410004,110.410004,3750900
2019-05-13,107.599998,108.629997,106.519997,106.830002,106.830002,5657900
2019-05-14,107.559998,110.400002,107.349998,109.089996,109.089996,4559700
2019-05-15,108.589996,111.930000,108.309998,111.500000,111.500000,5315300
2019-05-16,111.199997,114.660004,111.160004,113.870003,113.870003,6031800
2019-05-17,113.070000,114.250000,112.241997,112.800003,112.800003,4512400
2019-05-20,111.970001,113.309998,111.230003,112.150002,112.150002,3631600
2019-05-21,112.669998,113.120003,111.685997,112.430000,112.430000,4001400
2019-05-22,112.279999,113.959999,112.209999,112.470001,112.470001,3091700
2019-05-23,111.470001,111.709999,109.059998,109.900002,109.900002,7183600
2019-05-24,110.839996,111.239998,109.459999,109.849998,109.849998,4832500
2019-05-28,110.570000,113.139999,110.500000,111.790001,111.790001,6568300
2019-05-29,110.750000,110.970001,109.309998,110.080002,110.080002,8166200
2019-05-30,110.639999,111.570000,110.089996,111.410004,111.410004,3871800
2019-05-31,110.330002,110.800003,108.739998,109.750000,109.750000,4913500
2019-06-03,111.089996,111.089996,103.959999,105.519997,105.519997,11261200
2019-06-04,106.830002,108.830002,105.779999,108.730003,108.730003,7280400
2019-06-05,110.040001,110.879997,109.459999,110.769997,110.769997,6220200
2019-06-06,111.110001,112.040001,110.269997,111.779999,111.779999,4744000
2019-06-07,112.300003,115.139999,112.080002,114.019997,114.019997,5916400
2019-06-10,115.099998,117.349998,114.849998,115.620003,115.620003,6483600
2019-06-11,116.970001,117.449997,113.294998,114.599998,114.599998,5038900
2019-06-12,114.589996,114.889999,113.470001,114.500000,114.500000,3914400
2019-06-13,114.820000,115.820000,114.589996,115.720001,115.720001,4089400
2019-06-14,115.910004,116.730003,115.269997,116.169998,116.169998,4242000
2019-06-17,116.580002,117.334999,116.370003,117.160004,117.160004,4621600
2019-06-18,118.599998,118.646004,115.839996,115.980003,115.980003,6793300
2019-06-19,116.000000,117.339996,115.220001,117.139999,117.139999,5166000
2019-06-20,118.849998,119.949997,117.839996,118.790001,118.790001,5437500
2019-06-21,116.080002,117.279999,115.970001,116.209999,116.209999,10651500
2019-06-24,116.510002,116.773003,115.660004,116.500000,116.500000,3369800
2019-06-25,116.580002,116.959999,113.389999,114.440002,114.440002,5393700
2019-06-26,115.699997,116.379997,114.114998,114.150002,114.150002,4637300
2019-06-27,114.510002,114.870003,113.080002,113.669998,113.669998,5139300
2019-06-28,114.239998,114.620003,113.330002,114.459999,114.459999,6679800
2019-07-01,116.720001,116.750000,114.349998,115.029999,115.029999,5566900
2019-07-02,115.180000,116.199997,114.580002,116.169998,116.169998,4153900
2019-07-03,116.879997,117.720001,116.059998,117.680000,117.680000,3288900
2019-07-05,116.540001,117.400002,114.690002,117.160004,117.160004,3801700
2019-07-08,116.339996,117.224998,115.139999,116.949997,116.949997,4983600
2019-07-09,116.370003,118.620003,116.250000,118.370003,118.370003,4739000
2019-07-10,119.110001,120.199997,118.779999,119.639999,119.639999,5879700
2019-07-11,120.169998,120.750000,119.239998,120.650002,120.650002,4999700
2019-07-12,120.919998,121.000000,119.309998,120.120003,120.120003,4540300
2019-07-15,120.769997,121.040001,119.800003,120.900002,120.900002,3721000
2019-07-16,121.099998,121.480003,119.529999,119.709999,119.709999,4006600
2019-07-17,119.650002,119.989998,118.800003,118.809998,118.809998,4627500
2019-07-18,118.989998,120.800003,118.629997,119.870003,119.870003,4436900
2019-07-19,120.739998,121.360001,118.599998,118.629997,118.629997,4916200
2019-07-22,118.989998,119.209999,118.120003,118.690002,118.690002,5676600
2019-07-23,119.419998,120.269997,118.695000,120.220001,120.220001,5016000
2019-07-24,120.000000,121.330002,118.930000,121.300003,121.300003,8969800
2019-07-25,116.750000,117.550003,113.230003,115.120003,115.120003,19417200
2019-07-26,115.709999,116.349998,114.339996,115.489998,115.489998,7995500
2019-07-29,113.500000,114.279999,111.220001,111.449997,111.449997,13820200
2019-07-30,110.790001,112.290001,108.769997,112.040001,112.040001,8456000
2019-07-31,112.199997,112.300003,109.430000,110.400002,110.400002,10096200
2019-08-01,110.449997,112.449997,109.665001,110.800003,110.800003,9436100
2019-08-02,109.470001,109.650002,105.830002,107.089996,107.089996,10466900
2019-08-05,103.760002,105.389999,102.410004,103.599998,103.599998,11745400
2019-08-06,105.000000,106.000000,104.480003,105.029999,105.029999,7740500
2019-08-07,104.059998,107.160004,103.300003,106.629997,106.629997,7622000
2019-08-08,107.349998,108.139999,106.080002,106.790001,106.790001,7815000
2019-08-09,106.400002,106.519997,104.449997,104.820000,104.820000,7777300
2019-08-12,104.010002,104.379997,102.209999,102.720001,102.720001,7897900
2019-08-13,103.389999,106.699997,102.680000,106.040001,106.040001,9788400
2019-08-14,104.169998,105.129997,102.440002,103.269997,103.269997,9538800
2019-08-15,103.900002,105.790001,103.129997,104.949997,104.949997,6975800
2019-08-16,106.080002,106.610001,105.550003,106.160004,106.160004,5840900
2019-08-19,108.000000,108.440002,106.830002,107.669998,107.669998,5718300
2019-08-20,107.910004,108.580002,107.019997,107.370003,107.370003,4358600
2019-08-21,108.540001,110.019997,108.398003,109.820000,109.820000,5415900
2019-08-22,110.080002,110.290001,107.650002,108.769997,108.769997,3863600
2019-08-23,108.930000,110.139999,105.510002,106.040001,106.040001,7456400
2019-08-26,107.110001,107.830002,106.290001,107.660004,107.660004,3666900
2019-08-27,108.389999,108.720001,106.949997,107.449997,107.449997,4937400
2019-08-28,106.709999,107.629997,105.349998,107.470001,107.470001,3256100
2019-08-29,108.959999,109.760002,108.779999,109.209999,109.209999,3930900
2019-08-30,110.129997,110.970001,108.540001,109.050003,109.050003,3957900
2019-09-03,107.919998,108.860001,106.459999,106.750000,106.750000,4037700
2019-09-04,107.750000,109.235001,107.290001,108.730003,108.730003,3691200
2019-09-05,110.000000,111.629997,109.510002,111.459999,111.459999,5348700
2019-09-06,111.660004,111.669998,109.620003,110.050003,110.050003,4675800
2019-09-09,110.620003,110.769997,103.900002,105.430000,105.430000,10959000
2019-09-10,104.769997,104.949997,101.309998,103.050003,103.050003,13428000
2019-09-11,104.150002,104.480003,103.110001,104.019997,104.019997,7006300
2019-09-12,105.709999,107.915001,105.489998,107.099998,107.099998,11585400
2019-09-13,106.660004,107.290001,105.250000,107.000000,107.000000,8390200
2019-09-16,106.129997,108.010002,105.989998,106.519997,106.519997,5215600
2019-09-17,106.809998,107.894997,106.459999,107.500000,107.500000,4097400
2019-09-18,107.779999,107.800003,103.730003,105.599998,105.599998,6624300
2019-09-19,105.639999,107.019997,105.599998,106.120003,106.120003,5017100
2019-09-20,104.709999,105.459999,103.910004,104.639999,104.639999,10427300
2019-09-23,104.730003,105.320000,104.349998,105.110001,105.110001,3312800
2019-09-24,105.410004,106.099998,102.730003,103.690002,103.690002,6367900
2019-09-25,103.339996,104.462997,101.540001,104.139999,104.139999,5457300
2019-09-26,104.430000,104.870003,103.220001,104.550003,104.550003,4719800
2019-09-27,104.870003,105.169998,101.099998,102.199997,102.199997,7189400
2019-09-30,102.680000,104.070000,101.480003,103.589996,103.589996,7390700
2019-10-01,104.000000,104.640999,102.230003,102.529999,102.529999,5694500
2019-10-02,101.809998,101.830002,99.360001,99.730003,99.730003,7879000
2019-10-03,99.540001,101.309998,98.610001,101.029999,101.029999,4846100
2019-10-04,101.839996,102.980003,100.839996,102.790001,102.790001,5458000
2019-10-07,102.110001,102.607002,101.519997,101.620003,101.620003,3711300
2019-10-08,100.849998,101.150002,99.250000,99.330002,99.330002,7027600
2019-10-09,99.440002,100.690002,99.385002,99.889999,99.889999,4988600
2019-10-10,99.400002,101.000000,99.400002,100.540001,100.540001,4281600
2019-10-11,101.779999,103.959999,101.470001,101.580002,101.580002,4762900
2019-10-14,101.589996,102.349998,101.366997,101.750000,101.750000,2953500
2019-10-15,102.010002,103.660004,101.900002,103.589996,103.589996,4579600
2019-10-16,103.000000,103.230003,101.900002,103.089996,103.089996,4327000
2019-10-17,103.889999,104.339996,102.839996,103.629997,103.629997,3996300
2019-10-18,103.919998,104.320000,100.750000,101.220001,101.220001,7260700
2019-10-21,102.360001,102.730003,100.464996,101.440002,101.440002,6694400
2019-10-22,101.360001,101.949997,97.114998,97.360001,97.360001,11298100
2019-10-23,97.419998,97.599998,94.769997,96.639999,96.639999,16470200
2019-10-24,106.074997,106.980003,103.190002,104.910004,104.910004,23689200
2019-10-25,104.459999,107.489998,104.419998,107.190002,107.190002,12070900
2019-10-28,107.989998,108.459999,106.449997,106.599998,106.599998,7004200
2019-10-29,106.839996,107.019997,104.695000,105.000000,105.000000,5420900
2019-10-30,105.290001,106.599998,103.959999,106.500000,106.500000,4204900
2019-10-31,106.470001,106.500000,103.260002,104.099998,104.099998,7200500
2019-11-01,104.699997,105.300003,103.930000,104.980003,104.980003,5489500
2019-11-04,105.720001,105.760002,102.605003,102.809998,102.809998,5818400
2019-11-05,103.050003,103.250000,100.285004,100.989998,100.989998,9236200
2019-11-06,101.199997,101.339996,100.169998,100.629997,100.629997,7331900
2019-11-07,100.940002,101.720001,100.290001,100.470001,100.470001,9088400
2019-11-08,100.025002,101.709999,99.599998,101.419998,101.419998,5451300
2019-11-11,101.040001,103.040001,100.660004,102.669998,102.669998,5391000
2019-11-12,102.970001,103.089996,100.919998,102.029999,102.029999,6715200
2019-11-13,102.000000,103.599998,101.629997,102.120003,102.120003,5246600
2019-11-14,101.870003,103.849998,101.370003,103.730003,103.730003,4978400
2019-11-15,104.349998,104.480003,103.105003,104.199997,104.199997,5639600
2019-11-18,103.849998,104.199997,102.980003,103.660004,103.660004,4830400
2019-11-19,104.080002,106.169998,104.008003,104.949997,104.949997,7954100
2019-11-20,105.220001,105.379997,103.120003,104.089996,104.089996,5953500
2019-11-21,103.000000,104.470001,102.150002,102.550003,102.550003,7524800
2019-11-22,102.919998,103.230003,100.720001,101.769997,101.769997,6448800
2019-11-25,102.379997,104.570000,102.059998,104.449997,104.449997,8336100
2019-11-26,104.800003,106.779999,104.500000,106.199997,106.199997,13126400
